"Neuroepithelial cells","Radial glia","Intermediate progenitors","Mature neurons","Excitatory neurons","Inhibitory neurons","Astrocytes","Microglia","Oligodendrocytes","OPCs","Endothelial","Dividing"
NA,NA,NA,"Gja9-mycbp",NA,NA,"Slc27a1",NA,NA,NA,NA,NA
NA,NA,NA,"Kcns2",NA,NA,"Slc30a10",NA,NA,NA,NA,NA
NA,NA,NA,"Gabrb3",NA,NA,"Slc36a2",NA,NA,NA,NA,NA
NA,NA,NA,"Lmo7",NA,NA,"Slc46a1",NA,NA,NA,NA,NA
NA,NA,NA,"Pcdha4",NA,NA,"Slc6a11",NA,NA,NA,NA,NA
NA,NA,NA,"Lin7b",NA,NA,"Slc7a11",NA,NA,NA,NA,NA
NA,NA,NA,"Cpne4",NA,NA,"Slitrk2",NA,NA,NA,NA,NA
NA,NA,NA,"Enc1",NA,NA,"Snord42b",NA,NA,NA,NA,NA
NA,NA,NA,"Prkcc",NA,NA,"Snta1",NA,NA,NA,NA,NA
NA,NA,NA,"Eg636791",NA,NA,"Spire1",NA,NA,NA,NA,NA
NA,NA,NA,"Lgi2",NA,NA,"Spry2",NA,NA,NA,NA,NA
NA,NA,NA,"Sult4a1",NA,NA,"Spry4",NA,NA,NA,NA,NA
NA,NA,NA,"C130038g02Rik",NA,NA,"Src",NA,NA,NA,NA,NA
NA,NA,NA,"Kcnab1",NA,NA,"Stard6",NA,NA,NA,NA,NA
NA,NA,NA,"St8sia4",NA,NA,"Sycp2",NA,NA,NA,NA,NA
NA,NA,NA,"A830036e02Rik",NA,NA,"Tfcp2l1",NA,NA,NA,NA,NA
NA,NA,NA,"Syn2",NA,NA,"Thbs4",NA,NA,NA,NA,NA
NA,NA,NA,"Tcrb-v13",NA,NA,"Tm7sf2",NA,NA,NA,NA,NA
NA,NA,NA,"Mpped1",NA,NA,"Tmem129",NA,NA,NA,NA,NA
NA,NA,NA,"Bhlhe22",NA,NA,"Tlcd5",NA,NA,NA,NA,NA
NA,NA,NA,"Scn3b",NA,NA,"Tmem218",NA,NA,NA,NA,NA
NA,NA,NA,"Fgf9",NA,NA,"Tmie",NA,NA,NA,NA,NA
NA,NA,NA,"Snca",NA,NA,"Tp53rk",NA,NA,NA,NA,NA
NA,NA,NA,"Slc2a3",NA,NA,"Trps1",NA,NA,NA,NA,NA
NA,NA,NA,"C77370",NA,NA,"Ttyh1",NA,NA,NA,NA,NA
NA,NA,NA,"Reln",NA,NA,"Txndc5",NA,NA,NA,NA,NA
NA,NA,NA,"Pde10a",NA,NA,"Ubiad1",NA,NA,NA,NA,NA
NA,NA,NA,"Snrpn",NA,NA,"Ugp2",NA,NA,NA,NA,NA
NA,NA,NA,"Cckbr",NA,NA,"Usp43",NA,NA,NA,NA,NA
NA,NA,NA,"Prkar1b",NA,NA,"Usp51",NA,NA,NA,NA,NA
NA,NA,NA,"1810015a11Rik",NA,NA,"Utp14c",NA,NA,NA,NA,NA
NA,NA,NA,"9930013l23Rik",NA,NA,"Wasf3",NA,NA,NA,NA,NA
NA,NA,NA,"C030019i05Rik",NA,NA,"Xpr1",NA,NA,NA,NA,NA
NA,NA,NA,"Ramp3",NA,NA,"Zdhhc18",NA,NA,NA,NA,NA
